gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000000003.13,TSPAN6,157778.5731,76515.8557,205326.5947
ENSG00000000005.5,TNMD,2828.4868,3321.4867,5517.4428
ENSG00000000419.11,DPM1,508866.9116,332778.5383,468852.2266
ENSG00000000457.12,SCYL3,79393.2355,96425.3641,94212.5607
ENSG00000000460.15,C1orf112,39208.1022,51282.2504,41771.2179
ENSG00000000938.11,FGR,155170.8727,141959.4023,122736.8974
ENSG00000000971.14,CFH,553019.0794,239932.2733,204907.8608
ENSG00000001036.12,FUCA2,427994.7057,407393.154,481000.9534
ENSG00000001084.9,GCLC,113200.8826,138451.7514,152444.4246
ENSG00000001167.13,NFYA,200598.2323,309795.2841,186061.1475
ENSG00000001460.16,STPG1,21067.8395,18290.9636,23514.3501
ENSG00000001461.15,NIPAL3,166278.4918,150692.5031,210036.1145
ENSG00000001497.15,LAS1L,119264.948,101846.7755,148467.4279
ENSG00000001561.6,ENPP4,196067.7703,279650.3106,295477.3567
ENSG00000001617.10,SEMA3F,389946.9874,498512.8337,245783.8461
ENSG00000001626.13,CFTR,2539.7267,2999.8372,7116.8226
ENSG00000001629.8,ANKIB1,318706.5878,521925.8004,565187.1605
ENSG00000001630.14,CYP51A1,35908.9029,25085.5315,27319.5395
ENSG00000001631.13,KRIT1,287552.5616,342293.4928,359389.7197
ENSG00000002016.15,RAD52,98494.963,87637.5718,110118.8017
ENSG00000002079.11,MYH16,2960.0831,4587.8784,576.3851
ENSG00000002330.12,BAD,285616.303,194116.3947,235568.7379
ENSG00000002549.11,LAP3,890770.6245,1155387.899,471316.267
ENSG00000002586.16,CD99,642553.769,613536.6707,594454.3582
ENSG00000002587.8,HS3ST1,36317.7041,26121.6711,39097.2878
ENSG00000002726.18,AOC1,702460.8608,761833.1978,3507156.151
ENSG00000002745.11,WNT16,2792.9247,3097.5192,1442.137
ENSG00000002746.13,HECW1,4035.3787,1191.3325,486.4265
ENSG00000002822.14,MAD1L1,64875.2362,73470.857,67864.4121
ENSG00000002834.16,LASP1,398729.1054,533421.387,492563.1275
ENSG00000002919.13,SNX11,95030.0169,117649.0361,114766.267
ENSG00000002933.6,TMEM176A,1543915.55,1335745.566,2031410.259
ENSG00000003056.6,M6PR,736521.4373,484528.8217,731990.7163
ENSG00000003096.12,KLHL13,32117.6838,25186.3685,35992.9821
ENSG00000003137.7,CYP26B1,7718.413,23222.0747,11565.5646
ENSG00000003147.16,ICA1,110797.3373,79936.3134,58332.3907
ENSG00000003249.12,DBNDD1,15683.3126,24555.8461,34464.7957
ENSG00000003393.13,ALS2,145761.7909,150947.5247,169129.2135
ENSG00000003400.13,CASP10,175160.1286,201916.9757,110242.4939
ENSG00000003402.18,CFLAR,440878.2411,583812.1313,350227.1649
ENSG00000003436.13,TFPI,549649.4788,347102.0705,557105.2385
ENSG00000003509.14,NDUFAF7,156223.3428,152816.287,177326.7562
ENSG00000003756.15,RBM5,265290.669,325284.4348,244736.354
ENSG00000003987.12,MTMR7,58603.3931,18476.6937,39382.8551
ENSG00000003989.15,SLC7A2,432631.4504,197532.8686,125461.1113
ENSG00000004059.9,ARF5,451187.8555,401093.3366,644300.7002
ENSG00000004139.12,SARM1,32098.2579,28703.1751,35235.9929
ENSG00000004142.10,POLDIP2,506163.7718,477358.6602,563676.7838
ENSG00000004399.11,PLXND1,419471.7304,657145.9219,245330.3327
ENSG00000004455.15,AK2,713355.15,424026.8314,675544.5945
ENSG00000004468.11,CD38,55220.9945,88758.1786,20962.353
ENSG00000004478.7,FKBP4,257143.8462,216679.6284,303332.1649
ENSG00000004487.14,KDM1A,349394.8758,265767.1471,352554.4151
ENSG00000004534.13,RBM6,397418.4638,446894.0619,271714.9691
ENSG00000004660.13,CAMKK1,35807.084,49061.2258,118738.5977
ENSG00000004700.14,RECQL,352568.8521,302121.2656,397778.8835
ENSG00000004766.14,CCDC132,103201.3212,122053.2959,121707.2678
ENSG00000004776.10,HSPB6,1652.8251,2415.3539,5765.4771
ENSG00000004777.17,ARHGAP33,23591.7842,32758.8116,17881.4016
ENSG00000004779.8,NDUFAB1,538280.9165,335710.0416,471260.614
ENSG00000004799.7,PDK4,1425034.844,1715342.772,1748448.997
ENSG00000004809.12,SLC22A16,1894.0436,2281.2019,267.4862
ENSG00000004838.12,ZMYND10,9087.281,9781.9123,18117.3027
ENSG00000004846.15,ABCB5,553.4295,128.3736,508.0273
ENSG00000004848.6,ARX,593.7757,0,181.6879
ENSG00000004864.12,SLC25A13,344915.2806,333283.6851,413802.0884
ENSG00000004866.17,ST7,95575.7504,98794.4956,127494.6469
ENSG00000004897.10,CDC27,338753.6701,359605.9903,334777.2453
ENSG00000004939.12,SLC4A1,4844.994,224.7691,889.5042
ENSG00000004948.12,CALCR,32109.1327,49686.2563,76919.3229
ENSG00000004961.13,HCCS,113846.5917,87281.6845,106744.6925
ENSG00000004975.10,DVL2,99589.1681,100399.2648,129315.0284
